Video Title,Views,Likes,Dislikes,Clickbait 1/ Not-Clickbait 0
10 People You Don't Want To Mess With,484411,3881,191,1
I Got Hunted By The FBI,42724724,2005151,24646,1
10 Real Life Giants You Won't Believe Exist,3674544,12116,1570,1
10 Real Life Giants You Won't Believe Exist,6890718,15222,2858,1
10 Mythical CREATURES That Actually Existed,2089601,46750,1954,1
Real Giants Caught On Camera!,518170,4033,271,1
10 Real Life GIANTS,9244943,64025,6508,1
15 Biggest Animals You Won't Believe Actually Exist!,8380807,48083,5299,1
I Went Over Speed House And My Brothers Pulled up.... Didnt Go So Well,182683,18504,96,1
Why Nobody Wants This Part of Africa,1142293,41508,1018,1
Overnight in the World's Loneliest House,735215,40928,433,1
THE WORST DAY EVER!!,266809,14531,425,1
Why Millennials Are Leaving Six-Figure Tech Jobs,1113339,18997,1040,1
30 BEST PRANKS AND FUNNY TRICKS FOR YOUR FRIENDS,5445997,41468,4664,1
"Cutting Peoples Earphones, Then Giving Them Airpods",43680379,1297208,40894,1
BRENT AND I PRANK OUR MOM!!,15114182,375282,7265,1
"Last To Leave Circle Wins $500,000",21445488,1729921,11463,1
The Scariest and Most Interesting Pranks in the World. You Must See Them!,7969526,121749,4372,1
this video will make you forget your name..,916206,76981,3483,1
I Got My Girlfriend Pregnant?,486012,30544,2121,1
DMing 100 YouTubers Asking For A Dare! (i regret this),1291272,105966,5737,1
"5 YouTubers That Got MAD AT VIEWERS! (SSundee, MrBeast, Preston, Jelly)",34352,1404,463,1
Meeting MrBeast In Person (Very Rude),89625,2907,3345,1
MrBeast HATES Chandler after this..,17166,1207,554,1
my girlfriend forgot to end her stream..,29131,1210,263,1
"kid calls 911 for fun, goes very wrong..",33525,1335,119,1
he fell off then died..,54361,4818,546,1
he fell off then died..,54361,4818,546,1
Little Girl Goes To Heaven While Her Parents Watching (emotional),1973418,193593,6932,1
"My plane is going down, goodbye..",92660,9790,531,1
kid shoots dad after he takes PS5..,29079,2177,368,1
i shouldn't have let him do this..,7140,430,66,1
real prison escape caught on camera..,8090,516,78,1
they both died on this roller coaster..,14990,630,172,1
"6 YouTubers WHO ALMOST DIED ON CAMERA! (MrBeast, KSI, Sidemen, Tfue)",98545,1055,754,1
I Tested WEIRD VIRAL Food Combinations... (TikTok Edition),1297863,39839,13426,1
"Among Us In Real Life, With ACTUAL Detectives... (Impostor IQ 999)",1379942,33915,12112,1
"Last To Open Their Eyes Wins $20,000 - Challenge",1194409,27744,9215,1
GIRLFRIEND Controls My Life For 24 HOURS! - Challenge,2278256,64388,27456,1
"Last To Stop Eating McDonalds Wins $10,000 - Challenge",3078852,69213,24556,1
This Video Will Accurately Guess Your Age..,22797,1771,107,1
kid gets caught stealing PS5.. (MUST WATCH),61335,4655,281,1
"5 SCARIEST THINGS YouTubers Caught On Camera! (DanTDM, Morgz, MrBeast, Guava Juice)",69836,5045,367,1
"6 YouTubers Who FORGOT THEY WERE RECORDING! (DanTDM, Crainer, Tfue, Pokimane, Morgz, FaZe H1ghSky1)",197718,15177,512,1
"POKEMON GO HACKS! TOP 5 BEST HACKS! (WALK ANYWHERE, CATCH MEWTWO, XP HACK +MORE!!) + GIVEAWAY!!",3150,57,15,1
Only KIDS Can Hear This Sound..,37139,2053,77,1
My Ex Girlfriend Called Me... (We Picked up),2676436,130599,57359,1
Reacting to 2019 YouTube Rewind (THEY FINALLY PUT ME IN IT),1549684,83879,26086,1
42 HOLY GRAIL HACKS THAT WILL SAVE YOU A FORTUNE,282758915,1583612,321574,1
22 SIMPLE LIFE HACKS FOR YOUR LIPS,74582082,190940,74610,1
18 BARBIE DOLL HACKS,45945087,135239,47545,1
23 LIFE HACKS FOR EMBARRASSING MOMENTS,31027578,68723,17877,1
15 UNBELIEVABLY EASY WATERMELON HACKS,26207226,87841,28156,1
BABYSITTING MINI JAKE PAUL!!! GONE WRONG...,24945863,143068,26251,1
9 Riddles Only People with High IQ Can Solve,14313990,120202,40688,1
THESE GLASSES CURED MY COLORBLINDNESS!,29804390,2323366,280267,1
THIS LADY TRIED TO TAKE MY DOG!,24392403,475493,17757,1
SHARK ATTACK PRANK (WIFE FREAKOUT),16374862,403932,37284,1
I Flew To MrBeast's House & Knocked On His Door,13084890,283248,147853,1
SELF DRIVING TESLA IN DRIVE THRU PRANK (FREAKOUTS),10127363,295887,88234,1
PREGNANT SEX PRANK!,37521,1031,54,1
Something Scary Happened To Her Sister....,5615425,174009,5316,1
Touch My Body Challenge!,96489384,551412,106011,1
Faces REVEALED for ALL Fortnite Battlepass skins! (Season 1 - 11),5843805,118207,4748,1
Surprising Lox With MrBeast.. (Real Life),118780,4535,199,1
GHOST HUNTING in GTA 5! (DO NOT Play at 3:OOam),297823,9916,327,1
Hunting MYSTERIOUS CREATURES in GTA 5!,555834,12034,420,1
HE CAUGHT US...,25415525,82641,15552,1
SHE ALMOST FELL OFF THE ROLLER COASTER! - GONE WRONG,5350343,82628,3357,1
I WAS POSSESSED (ACTUAL FOOTAGE),6163215,137208,34510,1
Creepy Tik Toks You Should NOT Watch At Night,46930,2308,1603,1
SURPRISING ALISSA VIOLET!!,7356040,250293,18997,1
UNIQUE THINGS You Have to SEE TO BELIEVE,17865,2106,22,1
As promised... 1 MILLION SUBSCRIBER SPECIAL,17761147,486781,68060,1
You won't believe these CRAZY SIGHTINGS! (Can't Unsee This),16269467,380222,9096,1
CRAZY Roller Coasters YOU WONT BELIEVE EXIST !,14056313,100767,4691,1
LUCKY PEOPLE Who Avoided VERY CLOSE CALLS,13431007,136547,6835,1
Funniest Twitch LIVE STREAM Fails Ever !,17677110,385722,12672,1
The FASTEST WORKERS in the World !,16537278,142209,5544,1
10 Athletes Who Were Caught Cheating On Live TV,34080150,59592,28972,1
The Most Inappropriate Messages in Kids Shows,26007630,102341,31834,1
10 Actors Who Turned Into Monsters,21800606,68326,52283,1
10 Cute Kids Who Aged Horribly,22943937,64582,44316,1
Mysterious Cases Of Time Travel That Can't Be Explained,16452463,69490,20947,1
10 Cute Kids Who Aged Horribly,22943937,64582,44316,1
10 Most Epic Ways People Have Quit Their Job,12909800,57963,27865,1
Amazing Mind-Bending Optical Illusions,10539767,41103,3749,1
10 Shocking CONFESSIONS of UFC Octagon Girls,8002210,29610,8390,1
10 Hidden Pokemon Go SECRETS Finally Revealed!,7586094,56572,15558,1
10 Richest People Who Now Work Normal Jobs,7453774,26970,8898,1
CAUGHT GIRLFRIEND CHEATING IN THE ACT! (YOU WONT BELIEVE WHAT HAPPENS),25408065,332176,52082,1
she did this on live TV..,6072966,30336,10668,1
DONT PLAY GTA 5 AT 3:00 AM.. (scary),2974379,78932,10362,1
I've been Banned from Fortnite (I'm Sorry),22085620,875376,264117,1
DM'ing 100 TikTok Celebrities To See Who Would Reply (ft. Charli D'Amelio & Addison Rae),10526949,279653,7741,1
SHE IS PREGNANT!!,6021486,217166,4904,1
I Went Bald,5183657,390286,10842,1
"Last To Leave $800,000 Island Keeps It",102918727,3438692,62348,1
I Spent 50 Hours In Solitary Confinement,139036071,2730121,68394,1
I Spent 24 Hours Straight In Prison - Challenge,85546693,1649332,41455,1
"Extreme $500,000 Game Of Tag!",28304893,1904636,14556,1
"Extreme $500,000 Game Of Tag!",28527480,1912728,14689,0
APEX LEGENDS MAKES NO SENSE 3,338383,23061,277,0
Minecraft But Blocks Randomly Change When You Look At Them,1119179,69823,1678,0
I TOOK 10 PENALTIES AGAINST A PREMIER LEAGUE KEEPER,1363546,98995,597,0
"Minecraft, But You Can Shear Any Block...",1671133,71767,1788,0
Turning cotton balls into cotton candy,1609573,131024,704,0
Notre Dame vs. Florida State Condensed Game  2021 ACC Football,226372,1993,87,0
"Best Flipbook Wins $5,000 Challenge!  ZHC Crafts",2065826,78501,1508,0
World's Tallest Elephant Toothpaste Volcano (I FINALLY DID IT!!),11493836,764886,9130,0
"Food Theory M&Ms Melt In Your Hand, LIE To Your Face!",1479613,90227,1704,0
"BRYAN DANIELSON TALKS AEW AT ALL OUT 2021 DEBUT, WHY HE LEFT WWE, RELATIONSHIP W VINCE MCMAHON",266523,7779,156,0
Discord's You Laugh You Lose 4  YLYL,374653,39200,250,0
Clash Royale Enter the EXECUTIONER'S KITCHEN!  (New Season! Balance Changes!),1427958,39725,990,0
Champagne Poetry,3737793,97297,4524,0
Real Things Said in Classrooms Pt. 26,439929,70227,564,0
BABY # 2 NAME REVEAL! (SUPER EMOTIONAL AND CUTE!),213991,7882,286,0
The Truth About Making Cartoons,5334360,478899,3594,0
Drake - CERTIFIED LOVER BOY First REACTIONREVIEW,654203,29188,979,0
Costa Rica vs. Mxico 0-1  Rumbo al Mundial  Telemundo Deportes,166483,1276,95,0
I thought this golf club was a HUGE GIMMICK but....,296621,6281,71,0
Notre Dame Fighting Irish at Florida State Seminoles  Full Game Highlights,190217,2183,88,0
Minecraft but Creepers beat the game for me,3959587,96936,2914,0
I Started a Secret Base War,872678,21409,379,0
Exclusive Images of deserted Kabul airport hours after US withdrawal  FRANCE 24 English,781701,6179,483,0
Drake ft. Future and Young Thug - Way 2 Sexy (Official Video),13630604,503416,21303,0
CG5 - Vibrant Eyes [Dream SMP original song],1039172,125160,754,0
"ADAM COLE On His AEW ALL OUT 2021 DEBUT, MAKING HIS DECISION & MORE!",224956,6856,114,0
Qualifying Highlights  2021 Dutch Grand Prix,3304392,81058,930,0
BIGGEST UPSET OF THE DECADE! 1v1 Basketball Against D'Vontay Friga,514661,39193,3875,0
Rick and Morty  S5E9 Cold Open Morty Cleans Up Rick's Mess  adult swim,1734668,37655,294,0
Did you know that for LORD OF WAR...,989354,42855,1053,0
"Game Theory FNF, The Bob Mod SOLVED! (Friday Night Funkin)",1783044,115093,1545,0
All About Tha (BOOM!) Adam Cole AEW Entrance Theme  AEW Music,329106,15898,143,0
"Jhay Cortez, Anuel AA - Ley Seca (Official Video)",4191598,202802,3447,0
200 Days - [Minecraft with Tors],2713610,172354,2068,0
"Paul Heyman gives Roman Reigns a message from Brock Lesnar SmackDown, Sept. 3, 2021",1948490,55238,1037,0
Building a 5 Acre Pond! (Hurricane Update),370869,18603,176,0
Lil Duval - Sexy (Official Video) ft. Boosie Badazz,315321,20784,501,0
Race Highlights  2021 Dutch Grand Prix,3868339,95877,1469,0
Battlefield 2042 NEW Gameplay and Details!,1243918,45419,1406,0
"Minecraft, But Upside Down",667069,48756,1442,0
Home surveillance video shows speed of Waverly flooding,308859,3640,134,0
WHO CAN PUNCH THE HARDEST IN AMP,232821,14510,99,0
Rick and Morty is Real.,583682,12996,1006,0
Hermitcraft S8 My Mountain Isn't Big Enough For This...  Episode 9,454438,32230,208,0
I Built a REAL Chick-fil-A in my House!!!,1248102,31343,1405,0
Evolving The Biggest Army Possible To Win,389431,15702,194,0
I've been thinking of retiring.,2569670,428488,3659,0
Inside Japan's WORST Hotel Room  Feat. @CDawgVA,834150,68925,666,0
Can We Break Into a BANK SAFE With This WRECKING BALL,1054025,61286,540,0
vegan eats MEAT for 24 hours...,344665,24331,639,0
Carlos Alcaraz vs Stefanos Tsitsipas Highlights  2021 US Open Round 3,1411523,16551,444,0
Crucify But Everyone Sings It (Friday Night Funkin' Animation),1117549,30283,1157,0
The Wheel Of Time  Official Teaser Trailer  Prime Video,4457949,61444,3576,0
This Sphere is in Vanilla Minecraft,2115528,114074,1137,0
Mario Vs Luigi - Cartoon Beatbox Collabs,566318,28294,495,0
Full Cabin Tour  Before & After 1 Year of Renovations,388719,30946,283,0
DaBaby - Wockesha (Freestyle) [Official Video],1823136,137724,3211,0
The MOST INSANE TikTok Hacks,398427,6616,896,0
World's Largest Water Tunnel!,6106336,300841,3120,0
Destroying Friendships with the Minecraft Gravity Mod,5427054,709329,2206,0
JayDaYoungan - All Rise [Official Music Video],385234,25654,570,0
The Dogs Go On a RV CAMPING TRIP!,211985,7386,88,0
ABBA - I Still Have Faith In You,14308318,304916,6870,0
12 Types of Students in Every Computer Class,1166494,56814,1059,0
Yellowstone Season 4 Official Trailer  Paramount Network,1950445,6309,278,0
Mocking up the interior (Rebuilding Tally Ho  EP105),319671,28805,121,0
I Got Hunted By 1000 Chickens!,2187444,130910,1966,0
Trying TikTok Computer Hacks...,1898229,107379,2248,0
The Sims 4 Spa Day Refresh Official Trailer,443639,36923,724,0
Unboxing Samsung's Mind Bending New Display...,1002665,40521,1709,0
INSANE MINECRAFT CHALLANGE - DRAWING SUBSCRIBERS EVERYDAY (DAY 33) #shorts,227386,18128,414,0
12 Minutes... HOW CAN I SAVE MY BABY IN TWELVE MINUTES,4213438,467145,1502,0
Big30 - Free Shiest Life ft. Pooh Shiesty (Official Video),1046498,39291,473,0
I Googled Myself...,893833,131128,474,0
"Last To Leave Circle Wins $500,000",40712459,2390269,24583,0
Speedrunning Cuphead is much harder than you think,675641,31018,420,0
ABBA - Don't Shut Me Down (Lyric Video),6974136,198395,2919,0
OFFICIAL SCIENTIST Mod in Among Us,3607286,238848,3356,0
Daddy Yankee - MTELE AL PERREO (Official Video),17750100,201744,9571,0
Monstermax 1s New Replacement,2549399,98754,1858,0
"Big30 Talks About Memphis, Pooh Shiesty, Moneybagg Yo, Blrrrd Adlib, Yo Gotti, OTF, Debut Tape",584870,11624,247,0
Georgia Bulldogs vs. Clemson Tigers  Full Game Highlights,177955,1959,56,0
"100 People Decide Who Wins $30,000!",10361039,503673,7119,0
How To Win 1v2's,143480,8620,583,0
"Ohio State at Minnesota  C.J. Stroud Looks Good in Opener vs Gophers  Sept. 2, 2021  Highlights",139105,1084,68,0
Testing Level 100 Clickbait Minecraft Hacks!,966850,26354,828,0
Falling Into The Genshin Impact Hole,1009232,134932,684,0
How To Beat The DEATH GAME In Funhouse,1230859,60245,650,0
How to Master the Zandvoort F1 Track!  Nico Rosberg  Dutch GP 2021,525063,19976,226,0
Different types of Students during Lunch,296673,17721,278,0
Official Moving Day!,656606,41401,1706,0
100 LEGO Mystery Buttons but Only One Lets You Escape... ft Unspeakable,2067033,68353,1860,0
El Salvador vs. USA Extended Highlights  CONCACAF World Cup Qualifying  CBS Sports Golazo,389762,2862,179,0
Drake - Fair Trade (Audio) ft. Travis Scott,6217842,232483,3940,0
Building an UNBREAKABLE TESSERACT CUBE!,1687124,81479,1474,0
Lanky Kong listens to DK Rap for the first time,839745,102699,567,0
Can We Become American Ninja Warriors (Daequan and Hamlinz),819705,68459,402,0
Why Anecdotes Trump Data,980055,36060,1347,0
How Rickson Gracie Learned to Overcome Fear,471265,13724,149,0